Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
1,25,66,9.23E-04,70,9.79E-04,72,1.01E-03,69,9.70E-04,4.27E-05,4.41E+00,0
2,75,63,8.81E-04,64,8.95E-04,57,7.97E-04,61,8.58E-04,5.30E-05,6.17E+00,0
3,125,64,8.95E-04,65,9.09E-04,62,8.67E-04,64,8.90E-04,2.14E-05,2.40E+00,0
4,175,64,8.95E-04,71,9.93E-04,54,7.55E-04,63,8.81E-04,1.19E-04,1.36E+01,0
5,225,62,8.67E-04,60,8.39E-04,47,6.57E-04,56,7.88E-04,1.14E-04,1.45E+01,0
6,275,58,8.11E-04,71,9.93E-04,44,6.15E-04,58,8.07E-04,1.89E-04,2.34E+01,0
7,325,58,8.11E-04,63,8.81E-04,51,7.13E-04,57,8.02E-04,8.43E-05,1.05E+01,0
8,375,59,8.25E-04,62,8.67E-04,66,9.23E-04,62,8.72E-04,4.91E-05,5.63E+00,0
9,425,52,7.27E-04,61,8.53E-04,60,8.39E-04,58,8.07E-04,6.90E-05,8.55E+00,0
10,475,56,7.83E-04,72,1.01E-03,55,7.69E-04,61,8.53E-04,1.33E-04,1.56E+01,0
11,525,56,7.83E-04,61,8.53E-04,43,6.01E-04,53,7.46E-04,1.30E-04,1.74E+01,0
12,575,50,6.99E-04,55,7.69E-04,41,5.73E-04,49,6.81E-04,9.92E-05,1.46E+01,0
13,625,53,7.41E-04,12,1.68E-04,16,2.24E-04,27,3.78E-04,3.16E-04,8.37E+01,0
14,675,63,8.81E-04,0,0.00E+00,0,0.00E+00,21,2.94E-04,5.09E-04,1.73E+02,0
15,725,63,8.81E-04,2,2.80E-05,0,0.00E+00,22,3.03E-04,5.01E-04,1.65E+02,0
16,775,37,5.17E-04,0,0.00E+00,1,1.40E-05,13,1.77E-04,2.95E-04,1.66E+02,0
17,825,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
18,875,2,2.80E-05,0,0.00E+00,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,0
19,925,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
20,975,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
21,1025,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
22,1075,1,1.40E-05,2,2.80E-05,0,0.00E+00,1,1.40E-05,1.40E-05,1.00E+02,0
23,1125,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
24,1175,1,1.40E-05,0,0.00E+00,1,1.40E-05,1,9.32E-06,8.07E-06,8.66E+01,0
25,1225,0,0.00E+00,0,0.00E+00,1,1.40E-05,0,4.66E-06,8.07E-06,1.73E+02,0
26,1275,0,0.00E+00,0,0.00E+00,1,1.40E-05,0,4.66E-06,8.07E-06,1.73E+02,0
27,1325,1,1.40E-05,0,0.00E+00,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
28,1375,0,0.00E+00,1,1.40E-05,1,1.40E-05,1,9.32E-06,8.07E-06,8.66E+01,0
29,1425,3,4.20E-05,6,8.39E-05,37,5.17E-04,15,2.14E-04,2.63E-04,1.23E+02,0
30,1475,1,1.40E-05,62,8.67E-04,61,8.53E-04,41,5.78E-04,4.89E-04,8.45E+01,0
31,1525,3,4.20E-05,62,8.67E-04,57,7.97E-04,41,5.69E-04,4.58E-04,8.04E+01,0
32,1575,48,6.71E-04,56,7.83E-04,67,9.37E-04,57,7.97E-04,1.33E-04,1.67E+01,0
33,1625,50,6.99E-04,50,6.99E-04,52,7.27E-04,51,7.09E-04,1.61E-05,2.28E+00,0
